Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
F55G11.4,600.8010168,-5.662933891,0.90096341,9.28745E-12,8.79321E-10
R12E2.7,2633.967841,-7.085276548,1.173155043,9.42708E-12,8.81994E-10
C16C4.1,65.01227866,5.93760774,0.953032512,9.72129E-12,9.05367E-10
C06H5.11,398.6241105,7.145031086,1.186328013,9.81962E-12,9.10368E-10
C06H5.13,771.8904284,7.957398989,1.354189263,1.04681E-11,9.661E-10
F49E11.10,1143.63112,-5.020880924,0.788350323,1.10783E-11,1.0178E-09
Y70C5A.3,156.9182066,-4.583081204,0.713616517,1.23079E-11,1.1257E-09
K02A11.4,128.8958211,-3.373744482,0.518545637,1.28373E-11,1.16888E-09
T08A9.7,4434.747802,-4.939852904,0.77786883,1.36006E-11,1.23288E-09
Y53F4B.27,373.3167675,-6.346009625,1.040890682,1.43655E-11,1.29645E-09
K11G12.3,1000.996547,5.981247889,0.973217496,1.5742E-11,1.41442E-09
W07B8.1,276.5686004,-3.827635309,0.59187323,1.60313E-11,1.4341E-09
T23F2.1,1093.258069,-6.153775379,1.006923178,1.61404E-11,1.43756E-09
F54F3.1,2560.632169,-2.908494861,0.453871297,1.62736E-11,1.44311E-09
Y46H3B.2,97.0469091,-6.404184045,1.059659859,1.87145E-11,1.65239E-09
T04C12.7,1890.406757,4.925572848,0.781840506,1.90819E-11,1.67757E-09
F57A8.8,642.3871534,6.569028146,1.094643102,2.03617E-11,1.78239E-09
D2096.6,602.0984082,-5.149296049,0.824134754,2.08384E-11,1.81632E-09
R08B4.1,588.1113525,-4.62351227,0.731444651,2.26993E-11,1.97011E-09
F18G5.4,362.3971138,2.378920973,0.383012679,2.36414E-11,2.03165E-09
F55F3.4,56.59474467,-5.055631322,0.809698173,2.37073E-11,2.03165E-09
ZK287.4,224.3381023,-5.030547496,0.804980692,2.35354E-11,2.03165E-09
F16B4.7,2114.342024,7.706752382,1.334786272,2.44192E-11,2.08391E-09
F58E10.7,4248.887551,3.810442871,0.595591154,2.51662E-11,2.13871E-09
T23F6.1,123.446162,-6.57921938,1.105623025,2.73263E-11,2.31265E-09
F01D4.8,1304.140568,5.322078956,0.862111056,2.75868E-11,2.32504E-09
F08G5.4,5094.780014,-6.334449891,1.059233788,2.96867E-11,2.47879E-09
F52F10.3,98.12589662,-5.152787547,0.83231923,2.97756E-11,2.47879E-09
H17B01.5,348.2271453,3.538693955,0.554664465,2.9605E-11,2.47879E-09
K06C4.1,60.41220112,4.13150464,0.651563977,3.03722E-11,2.51817E-09
C53B7.5,254.1028917,3.453528115,0.543375192,3.41739E-11,2.82191E-09
C18H9.5,545.2174325,4.499640228,0.71752062,3.50444E-11,2.88212E-09
C13A2.12,3737.448857,6.78957359,1.156672266,3.55033E-11,2.90813E-09
ZC84.6,107.746871,-5.474013364,0.898793675,3.90205E-11,3.18345E-09
