Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj
C50D2.1,284.8756209,-4.096249797,0.791973876,2.02063E-09,1.54355E-07
R09B5.9,520.0119891,-5.051553379,1.00370452,2.1037E-09,1.60101E-07
K09C4.1,106.5940769,-5.254729411,1.044321591,2.13975E-09,1.62239E-07
F59A6.10,660.2921205,6.971368687,1.349641721,2.40415E-09,1.81611E-07
Y42H9B.1,542.8945469,-4.876986308,0.973980392,2.48206E-09,1.86805E-07
W09G10.1,1063.468973,7.647328309,1.469834326,2.52228E-09,1.89134E-07
C34F6.8,1172.645852,-2.538710276,0.448948775,2.6082E-09,1.9486E-07
F08H9.8,179.9638381,-3.23390579,0.594921965,2.66494E-09,1.98373E-07
C16C4.4,110.6345919,-5.32088565,1.067123582,2.75036E-09,2.03987E-07
C15C8.2,51.20054975,-3.331396977,0.61863774,2.85495E-09,2.10215E-07
C56A3.1,715.1174683,6.01016875,1.194274136,2.84593E-09,2.10215E-07
F11E6.2,145.2622177,6.506112265,1.279973007,2.87605E-09,2.11007E-07
W04G5.9,128.0536701,3.640145619,0.69294074,3.01235E-09,2.20214E-07
F49E11.10,1143.63112,-4.220120128,0.834047045,3.11439E-09,2.26747E-07
ZK39.3,383.9989556,-11.97201493,2.562647828,3.12393E-09,2.26747E-07
F36F2.8,112.9539052,3.716154772,0.712579969,3.16791E-09,2.29123E-07
K07C11.3,856.734121,3.469560352,0.653413332,3.18589E-09,2.29609E-07
W03D2.7,66.385467,6.585147386,1.299399508,3.22791E-09,2.31818E-07
W02H5.8,656.0446124,3.047315709,0.557234322,3.27102E-09,2.3409E-07
E04F6.9,8385.101978,4.644339681,0.934782073,3.38484E-09,2.41389E-07
E02A10.2,23966.24137,7.807714341,1.518856489,3.51038E-09,2.49469E-07
C33D3.3,78.53384017,-2.985588896,0.545441584,3.58608E-09,2.53964E-07
W09D12.1,2619.483175,3.35556858,0.629678449,3.67791E-09,2.59566E-07
C39E9.4,90.86480842,-3.695867705,0.711856295,3.74025E-09,2.63055E-07
ZK355.3,965.6554467,6.895418408,1.361947722,3.8288E-09,2.68358E-07
ZC374.2,202.181199,-3.182671339,0.5921794,4.15672E-09,2.90344E-07
K02F3.8,188.4608394,4.205282699,0.840254855,4.26163E-09,2.96656E-07
F55F3.4,56.59474467,-4.174563562,0.8341732,4.44986E-09,3.08706E-07
ZK1025.4,75.80711561,-5.628856208,1.147166972,4.52756E-09,3.13031E-07
C05D9.9,1035.101496,4.3258374,0.872789523,4.75374E-09,3.26455E-07
C49G7.3,3178.766434,-4.855173796,0.99367229,4.7384E-09,3.26455E-07
F45E4.7,77.49751788,-3.204988174,0.600923324,4.95587E-09,3.39195E-07
T03D3.14,30.219269,4.733409974,0.969644694,5.09418E-09,3.47495E-07
F11A5.15,222.1197691,5.271376055,1.085996721,5.40876E-09,3.67723E-07
